datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2009-03-22 00:00:00-05:00,2009-03-22 00:00:00,,,015765185,,,,,0.43,A,,,,,,,2009-03-22 00:00:00-05:00
2009-03-23 00:00:00-05:00,2009-03-23 00:00:00,,,015765185,,,,,0.46,A,,,,,,,2009-03-23 00:00:00-05:00
2009-03-24 00:00:00-05:00,2009-03-24 00:00:00,,,015765185,,,,,0.44,A,,,,,,,2009-03-24 00:00:00-05:00
2009-03-25 00:00:00-05:00,2009-03-25 00:00:00,,,015765185,,,,,0.38,A,,,,,,,2009-03-25 00:00:00-05:00
2009-03-26 00:00:00-05:00,2009-03-26 00:00:00,,,015765185,,,,,0.76,A,,,,,,,2009-03-26 00:00:00-05:00
2009-03-27 00:00:00-05:00,2009-03-27 00:00:00,,,015765185,,,,,0.45,A,,,,,,,2009-03-27 00:00:00-05:00
2009-03-28 00:00:00-05:00,2009-03-28 00:00:00,,,015765185,,,,,1.47,A,,,,,,,2009-03-28 00:00:00-05:00
2009-03-29 00:00:00-05:00,2009-03-29 00:00:00,,,015765185,,,,,1.29,A,,,,,,,2009-03-29 00:00:00-05:00
2009-03-30 00:00:00-05:00,2009-03-30 00:00:00,,,015765185,,,,,0.49,A,,,,,,,2009-03-30 00:00:00-05:00
2009-03-31 00:00:00-05:00,2009-03-31 00:00:00,,,015765185,,,,,0.36,A,,,,,,,2009-03-31 00:00:00-05:00
2009-04-01 00:00:00-05:00,2009-04-01 00:00:00,,,015765185,,,,,0.36,A,,,,,,,2009-04-01 00:00:00-05:00
